ItemID,InvoiceID,Description,Quantity,UnitPrice
1,1,Support Contract,10,1821.7
2,1,Support Contract,2,2643.41
3,1,Consulting Services,3,3014.76
4,1,Software License,6,1606.7
5,1,Consulting Services,7,3887.39
6,2,Hardware Purchase,3,4204.49
7,3,Support Contract,10,3158.99
8,3,Consulting Services,8,1280.04
9,3,Hardware Purchase,1,3260.97
10,4,Hardware Purchase,5,1932.43
11,5,Training Session,8,4010.35
12,5,Consulting Services,1,3140.24
13,5,Consulting Services,8,4157.96
14,6,Consulting Services,7,3794.4
15,6,Hardware Purchase,2,4846.21
16,6,Consulting Services,9,2247.77
17,6,Support Contract,4,1577.54
18,7,Training Session,10,3963.09
19,7,Consulting Services,3,2084.0
20,8,Hardware Purchase,5,4637.47
21,8,Hardware Purchase,9,1617.34
22,8,Support Contract,7,4808.79
23,8,Hardware Purchase,4,1027.22
24,8,Support Contract,8,916.39
25,9,Support Contract,4,3065.64
26,10,Support Contract,1,3442.5
27,10,Hardware Purchase,5,2622.86
28,10,Support Contract,4,1346.55
29,11,Support Contract,2,1854.47
30,11,Software License,2,4823.26
31,12,Support Contract,9,2864.95
32,12,Software License,2,4667.21
33,12,Training Session,5,1747.2
34,13,Support Contract,4,1364.14
35,13,Support Contract,5,3106.86
36,13,Training Session,10,1306.13
37,14,Software License,1,4118.06
38,14,Software License,9,907.57
39,14,Consulting Services,2,1517.6
40,14,Support Contract,3,2125.58
41,14,Consulting Services,2,2425.18
42,15,Support Contract,9,1281.86
43,15,Support Contract,3,3471.31
44,15,Hardware Purchase,8,4626.92
45,16,Consulting Services,9,1950.53
46,16,Software License,1,3825.73
47,16,Hardware Purchase,7,3982.72
48,17,Software License,5,4743.56
49,17,Support Contract,2,259.12
50,17,Support Contract,4,3723.68
51,17,Support Contract,10,848.46
52,18,Hardware Purchase,9,1326.22
53,19,Hardware Purchase,7,2896.13
54,19,Hardware Purchase,7,4815.41
55,20,Consulting Services,7,1398.51
56,21,Hardware Purchase,2,1940.55
57,21,Consulting Services,10,3960.26
58,22,Software License,5,2900.77
59,22,Hardware Purchase,4,348.06
60,22,Support Contract,10,4601.66
61,22,Training Session,3,1626.76
62,23,Training Session,3,2605.3
63,23,Training Session,3,2914.36
64,23,Training Session,5,3294.62
65,23,Hardware Purchase,8,2844.27
66,24,Consulting Services,5,3746.55
67,25,Hardware Purchase,6,4985.9
68,25,Support Contract,4,4795.89
69,25,Hardware Purchase,4,4658.54
70,25,Consulting Services,6,4405.07
71,25,Consulting Services,4,1422.25
72,26,Support Contract,9,4315.22
73,27,Hardware Purchase,1,4625.03
74,27,Consulting Services,9,2929.88
75,27,Consulting Services,1,3141.5
76,28,Software License,6,1051.3
77,28,Hardware Purchase,1,3638.66
78,29,Support Contract,3,87.63
79,29,Consulting Services,9,4756.97
80,29,Consulting Services,4,3722.73
81,29,Consulting Services,8,3481.26
82,29,Software License,10,2586.02
83,30,Software License,2,4545.48
84,30,Hardware Purchase,1,2028.44
85,30,Hardware Purchase,4,3916.64
86,30,Training Session,10,473.31
87,30,Hardware Purchase,2,2642.79
88,31,Hardware Purchase,8,156.7
89,32,Software License,6,3778.86
90,32,Support Contract,10,2371.45
91,33,Software License,3,3122.39
92,33,Software License,1,2494.33
93,33,Software License,1,1959.45
94,33,Support Contract,8,172.87
95,33,Support Contract,5,3619.51
96,34,Training Session,2,3213.75
97,34,Consulting Services,7,905.31
98,34,Hardware Purchase,5,4899.28
99,34,Hardware Purchase,6,4134.62
100,34,Consulting Services,10,2861.38
101,35,Hardware Purchase,4,3816.53
102,35,Hardware Purchase,3,3026.31
103,35,Software License,9,601.53
104,35,Hardware Purchase,10,3567.0
105,36,Software License,3,3949.38
106,37,Hardware Purchase,3,4610.83
107,37,Support Contract,1,4855.4
108,37,Training Session,10,2816.47
109,37,Software License,6,3304.04
110,37,Consulting Services,8,3750.47
111,38,Consulting Services,3,925.18
112,39,Training Session,7,428.6
113,39,Consulting Services,3,2170.57
114,40,Software License,1,2333.3
115,40,Consulting Services,3,4904.18
